folder_name,seed,max_steps,game,final_global_step,final_expl0,final_expl1,final_avg_exploitability,algorithm_name_config,alpha_config,anneal_lr_config,beta_config,clip_coef_config,clip_vloss_config,cuda_config,ent_coef_config,eval_every_config,gae_config,gae_lambda_config,gamma_config,iem_lr_config,learning_rate_config,max_grad_norm_config,norm_adv_config,num_envs_config,num_minibatches_config,num_steps_config,policy_head_config,target_kl_config,tsallis_q_config,update_epochs_config,vf_coef_config
2026-02-26_23-12-08-258137_f167b8,4,3000000,classical_phantom_ttt,3000320.0,0.1838234046223137,0.1763590931345741,0.1800912488784439,iem_ppo,0.6,True,3.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_23-30-14-129558_cafd5d,4,3000000,classical_phantom_ttt,3000320.0,0.2034522780525382,0.1538640854406798,0.17865818174660902,iem_ppo,0.6,True,1.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-27_00-02-35-214272_5eb0f0,4,3000000,classical_phantom_ttt,3000320.0,0.2012998731379819,0.1566807180916152,0.17899029561479857,iem_ppo,0.6,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-28_15-49-56-345744_1140f4,4,10000000,classical_phantom_ttt,10000384.0,0.134020441154456,0.132538953994495,0.1332796975744755,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-28_17-02-21-369768_b63c85,4,10000000,classical_phantom_ttt,10000384.0,0.1629815360330478,0.1065597812405048,0.13477065863677629,iem_ppo,0.4,True,4.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-28_23-51-01-469671_68225a,4,10000000,classical_phantom_ttt,10000384.0,0.1799571861084253,0.1505814170846402,0.16526930159653275,iem_ppo,0.2,True,3.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-01_08-30-40-808700_724343,4,10000000,classical_phantom_ttt,10000384.0,0.1738678945004356,0.1597518217988479,0.16680985814964175,iem_ppo,0.3,True,3.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-01_15-20-24-682610_2f0537,4,10000000,classical_phantom_ttt,10000384.0,0.1815770493687835,0.1535222755947818,0.16754966248178266,iem_ppo,0.4,True,3.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-01_21-55-16-716949_0c2650,,10000000,classical_phantom_ttt,10000384.0,0.1622879850480725,0.1437675282938075,0.15302775667093999,iem_ppo,0.3,True,1.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-01_23-01-18-169193_fe77a3,4,10000000,classical_phantom_ttt,10000384.0,0.1622879850480725,0.1437675282938075,0.15302775667093999,iem_ppo,0.3,True,1.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-02_09-45-12-215606_818be3,4,10000000,classical_phantom_ttt,10000384.0,0.2393622367225635,0.1198484838110871,0.1796053602668253,iem_ppo,0.3,True,1.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-02_10-44-47-995502_9ca798,4,10000000,classical_phantom_ttt,10000384.0,0.1883461818765155,0.1348175468406733,0.1615818643585944,iem_ppo,0.3,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-02_11-56-00-148017_e19c32,4,10000000,classical_phantom_ttt,10000384.0,0.134020441154456,0.132538953994495,0.1332796975744755,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-02_12-54-03-260763_9dd3b8,5,10000000,classical_phantom_ttt,10000384.0,0.1651896906969243,0.1296265619104017,0.147408126303663,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-03-02_16-23-46-630631_96fc13,4,3000000,classical_phantom_ttt,3000320.0,0.161077569891505,0.1427364392740273,0.15190700458276615,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,1.2,4,0.5
2026-03-02_16-47-05-479331_7b7c33,4,3000000,classical_phantom_ttt,3000320.0,0.1722825064022492,0.1556275333765528,0.163955019889401,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,1.5,4,0.5
2026-03-02_17-29-12-075508_1944cd,4,3000000,classical_phantom_ttt,3000320.0,0.193186668376072,0.1662909846571465,0.17973882651660927,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,1.8,4,0.5
2026-03-02_20-58-49-888165_e424d6,4,3000000,classical_phantom_ttt,3000320.0,0.2203974343747779,0.1776062144532418,0.19900182441400985,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,2.0,4,0.5
2026-03-03_08-49-04-562914_43572d,4,10000000,classical_phantom_ttt,10000384.0,0.1519700672602588,0.1306209140487142,0.1412954906544865,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,1.2,4,0.5
2026-03-03_10-46-53-782927_a1e512,4,10000000,classical_phantom_ttt,10000384.0,0.1575916406771893,0.141641969691708,0.14961680518444864,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,1.5,4,0.5
2026-03-03_12-23-58-604672_247d4e,4,10000000,classical_phantom_ttt,10000384.0,0.1784268209285692,0.138293309231922,0.1583600650802456,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,1.8,4,0.5
2026-03-03_13-39-16-524292_61cca4,4,10000000,classical_phantom_ttt,10000384.0,0.1484831101200647,0.1395367731757091,0.14400994164788689,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,2.2,4,0.5
2026-03-03_14-56-25-108220_2c4ec4,4,10000000,classical_phantom_ttt,10000384.0,0.2216161762589002,0.1644992802278091,0.19305772824335465,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,2.4,4,0.5
2026-03-11_15-54-26-578367_e52f8b,4,3000000,classical_phantom_ttt,2000896.0,0.7495876880128163,0.6311540478775896,0.690370867945203,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,2.4,4,0.5
2026-03-11_16-10-17-532986_5649b0,4,3000000,classical_phantom_ttt,3000320.0,0.7273773120690934,0.6322613602877005,0.679819336178397,iem_ppo,0.6,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,2.0,4,0.5
2026-03-11_16-48-01-212439_584e1b,4,3000000,classical_phantom_ttt,3000320.0,0.8658039809071172,0.6712583544920507,0.768531167699584,iem_ppo,0.6,True,3.0,0.1,True,True,1.0,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,2.0,4,0.5
2026-03-11_18-40-10-110674_60d7e6,4,3000000,classical_phantom_ttt,3000320.0,0.8658039809071172,0.6712583544920507,0.768531167699584,iem_ppo,0.6,True,3.0,0.1,True,True,1.0,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,2.0,4,0.5
2026-03-12_13-37-36-459707_949542,4,3000000,classical_phantom_ttt,3000320.0,0.9423519756953166,0.5625990469295291,0.7524755113124229,iem_ppo,0.6,True,3.0,0.1,True,True,0.1,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,2.0,4,0.5
2026-03-12_18-09-14-115351_035d23,4,3000000,classical_phantom_ttt,3000320.0,0.6152487214637099,0.5424258442051728,0.5788372828344414,iem_ppo,0.6,True,5.0,0.1,True,True,0.1,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,2.0,4,0.5
2026-03-12_19-16-26-321752_c985dd,4,3000000,classical_phantom_ttt,3000320.0,0.5968046914702058,0.5293598651895968,0.5630822783299012,iem_ppo,0.6,True,5.0,0.1,True,True,0.1,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,1.5,4,0.5
2026-03-13_14-47-35-519407_54bee0,4,3000000,classical_phantom_ttt,3000320.0,1.0556866576793276,0.4915493159932951,0.7736179868363113,iem_ppo,0.6,True,5.0,0.1,True,True,0.1,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,1.2,4,0.5
2026-03-13_15-19-52-819759_7c3fbf,4,3000000,classical_phantom_ttt,3000320.0,0.8941587230023149,0.66374814265665,0.7789534328294825,iem_ppo,0.6,True,5.0,0.1,True,True,0.1,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,0.01,1.2,4,0.5
2026-03-13_16-45-26-875823_2f9461,4,3000000,classical_phantom_ttt,3000320.0,0.7986473112724005,0.5972007623192561,0.6979240367958284,iem_ppo,0.6,True,5.0,0.1,True,True,0.1,100,True,0.95,0.99,0.0005,0.0001,0.5,True,8,4,128,sparsemax,,1.2,4,0.5
2026-03-14_10-37-53-212997_0db917,4,3000000,classical_phantom_ttt,2000896.0,0.7828907690861615,0.642315630969141,0.7126032000276512,iem_ppo,0.6,True,3.0,0.05,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,sparsemax,,1.2,2,0.5
2026-03-14_10-55-16-144403_22e436,4,3000000,classical_phantom_ttt,3000320.0,0.7832320923687806,0.6565655927537705,0.7198988425612756,iem_ppo,0.6,True,3.0,0.05,True,True,0.2,100,True,0.95,0.99,0.0005,0.0001,0.5,True,8,4,128,sparsemax,0.01,1.2,2,0.5
2026-03-14_11-23-58-842426_5aba74,4,10000000,classical_phantom_ttt,10000384.0,0.6937049520994927,0.6067646615383773,0.650234806818935,iem_ppo,0.6,True,3.0,0.05,True,True,0.2,100,True,0.95,0.99,0.0005,0.0001,0.5,True,8,4,128,sparsemax,0.01,1.2,2,0.5
2026-03-15_13-44-37-935882_a2e098,4,10000000,classical_phantom_ttt,10000384.0,0.1688167057031195,0.1132436544139166,0.14103018005851803,iem_ppo,0.4,True,3.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,softmax,,2.0,4,0.5
2026-03-15_15-45-34-033509_4a2977,4,10000000,classical_phantom_ttt,10000384.0,0.1883461818765155,0.1348175468406733,0.1615818643585944,iem_ppo,0.3,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,softmax,,2.0,4,0.5
2026-03-15_22-14-55-101291_340e54,2,10000000,classical_phantom_ttt,10000384.0,0.178069156095767,0.1315695224440556,0.15481933926991132,iem_ppo,0.4,True,3.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,softmax,,2.0,4,0.5
2026-03-16_08-25-44-567494_684fd7,2,10000000,classical_phantom_ttt,10000384.0,0.1939158658751286,0.1342179716874406,0.1640669187812846,iem_ppo,0.3,True,2.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,softmax,,2.0,4,0.5
